name,abbreviation,home_field,nickname,bright_color,light_color,dark_color,twitter_list,league_id,sport_id
England Football U-23,ENG U-23,,Lionesses,#FA141B,#FFFFFF,#02325F,"<a class=""twitter-timeline"" data-link-color=""#FFFFFF"" data-border-color=""#FA141B"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive"" href=""https://twitter.com/backcourtdribbl/lists/england-football-u-23?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
England Football U-20,ENG U-20,,Lionesses,#FA141B,#FFFFFF,#02325F,"<a class=""twitter-timeline"" data-link-color=""#FA141B"" data-border-color=""#FFFFFF"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/england-football-u-20?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
England Football U-19,ENG U-19,,Lionesses,#FA141B,#FFFFFF,#02325F,"<a class=""twitter-timeline"" data-link-color=""#FFFFFF"" data-border-color=""#FA141B"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/england-football-u-19?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
England Retired Players,ENG,,Lionesses,#FA141B,#FFFFFF,#02325F,"<a class=""twitter-timeline"" data-link-color=""#FA141B"" data-border-color=""#FFFFFF"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/england-retired-players?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
England Recent Callups,ENG,,Lionesses,#FA141B,#FFFFFF,#02325F,"<a class=""twitter-timeline"" data-link-color=""#FFFFFF"" data-border-color=""#FA141B"" lang=""EN"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/england-recent-callups?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
France National Football,FRA,,Les Bleues,#064AFB,#FA141B,#133361,"<a class=""twitter-timeline"" data-link-color=""#064AFB"" data-border-color=""#FA141B"" data-theme=""dark"" height=""3039"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/france-national-football?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
France Football U-23,FRA U-23,,Les Bleues,#064AFB,#FA141B,#133362,"<a class=""twitter-timeline"" data-link-color=""#FA141B"" data-border-color=""#064AFB"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive"" href=""https://twitter.com/backcourtdribbl/lists/france-football-u-23?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
France Football U-20,FRA U-20,,Les Bleues,#064AFB,#FA141B,#133363,"<a class=""twitter-timeline"" data-link-color=""#064AFB"" data-border-color=""#FA141B"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/france-football-u-20?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
France Football U-19,FRA U-19,,Les Bleues,#064AFB,#FA141B,#133364,"<a class=""twitter-timeline"" data-link-color=""#FA141B"" data-border-color=""#064AFB""  data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/france-football-u-19?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
France Recent Call Up,FRA,,Les Bleues,#064AFB,#FA141B,#133365,"<a class=""twitter-timeline"" href=""https://twitter.com/backcourtdribbl/lists/france-recent-call-ups?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
France Retired Players,FRA,,Les Bleues,#064AFB,#FA141B,#133366,"<a class=""twitter-timeline"" data-link-color=""#064AFB"" data-border-color=""#FA141B"" data-theme=""dark"" height=""3039"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/france-national-football?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
Germany Football,GER ,,GER ,#FDC932,#D3262E,#000000,"<a class=""twitter-timeline"" data-link-color=""#FDC932"" data-border-color=""#D3262E"" data-theme=""dark"" height=""3039"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""  href=""https://twitter.com/backcourtdribbl/lists/germany-football?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
Germany Football U-23,GER ,,GER ,#FDC933,#D3262E,#000001,"<a class=""twitter-timeline"" data-link-color=""#D3262E"" data-border-color=""#FDC932"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""   href=""https://twitter.com/backcourtdribbl/lists/germany-football-u-23?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
Germany Football U-20,GER ,,GER ,#FDC934,#D3262E,#000002,"<a class=""twitter-timeline"" data-link-color=""#D3262E"" data-border-color=""#FDC932"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""   href=""https://twitter.com/backcourtdribbl/lists/germany-football-u-23?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
Germany Football U-19,GER ,,GER ,#FDC935,#D3262E,#000003,"<a class=""twitter-timeline"" data-link-color=""#D3262E"" data-border-color=""#FDC932"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""    href=""https://twitter.com/backcourtdribbl/lists/germany-football-u-19?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
Germany Recent Call Ups,GER ,,GER ,#FDC936,#D3262E,#000004,"<a class=""twitter-timeline"" data-link-color=""#FDC932"" data-border-color=""#D3262E"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""   href=""https://twitter.com/backcourtdribbl/lists/germany-recent-call-ups?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
Germany Retired Players,GER ,,GER ,#FDC937,#D3262E,#000005,"<a class=""twitter-timeline"" data-link-color=""#D3262E"" data-border-color=""#FDC932"" data-theme=""dark"" height=""1000"" data-screen-name=""backcourtdribbl"" data-show-replies=""true"" data-aria-polite=""assertive""    href=""https://twitter.com/backcourtdribbl/lists/germany-retired-players?ref_src=twsrc%5Etfw"">A Twitter List by backcourtdribbl</a> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",,
